ISF6_XXXX,Annotation,PET_RPKM,TPA?2Na_RPKM,EG_RPKM,PET_RPKM_NORM,TPA?2Na_RPKM_NORM,EG_RPKM_NORM,PET_RPKM_REL,TPA?2Na_RPKM_REL,EG_RPKM_REL,ProteinID
76,Tricarboxylate transport protein TctB,2194,2702,341,2194.0,2720.5148395424403,330.7227329048744,445.5874758508951,972.1023153933354,-1417.6897912442305,GAP33630.1
223,Pca regulon regulatory protein PcaR,566,3971,26,566.0,3998.2103729914984,25.21639605726315,-963.8089230162539,2468.4014499752448,-1504.5925269589907,GAP38910.1
77,Tricarboxylate transport membrane protein TctA,2510,2965,337,2510.0,2985.3169871366895,326.8432873576032,569.2799085019024,1044.5968956385918,-1613.8768041404944,GAP33631.1
229,4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262),1239,3698,18,1239.0,3723.3397026750345,17.45750496272064,-420.9324025459184,2063.4073001291163,-1642.4748975831978,GAP38916.1
559,hypothetical protein,1405,4950,108,1405.0,4983.918747496328,104.74502977632386,-759.5545924242174,2819.364155072111,-2059.8095626478935,GAP39032.1
4707,putative exported protein,3724,5347,374,3723.9999999999995,5383.639099568256,362.72815866986224,567.2109139206268,2226.850013488883,-2794.0609274095104,GAP34532.1
228,"Ortho-halobenzoate 1,2-dioxygenase beta-ISP protein OhbA",1603,6836,24,1603.0,6882.84213290604,23.276673283627524,-1233.372935396556,4046.4691975094843,-2813.0962621129283,GAP38915.1
224,Chlorogenate esterase,983,9599,70,983.0000000000001,9664.77496105399,67.89029707724694,-2588.888419377079,6092.886541676911,-3503.998122299832,A0A0K8P8E7.1
226,putative exported protein,2221,9065,32,2221.0,9127.115847687719,31.035564378170033,-1572.0504706886295,5334.0653769990895,-3762.0149063104595,GAP38913.1
227,"Ortho-halobenzoate 1,2-dioxygenase alpha-ISP protein OhbB",2064,9324,34,2064.0,9387.890586193083,32.97528715180566,-1764.288624448296,5559.601961744787,-3795.3133372964903,GAP38914.1
