ISF6_XXXX,Annotation,PET_RPKM,TPA?2Na_RPKM,EG_RPKM,PET_RPKM_NORM,TPA?2Na_RPKM_NORM,EG_RPKM_NORM,PET_RPKM_REL,TPA?2Na_RPKM_REL,EG_RPKM_REL,ProteinID
2782,Methyl-accepting chemotaxis protein I (serine chemoreceptor protein),347,1964,1747,347.0,1977.4578626429875,1694.3478427707203,-992.6019018045693,637.8559608384182,354.745940966151,GAP36942.1
2821,benzoyl-CoA-dihydrodiol lyase (BoxC),89,1356,1982,89.0,1365.2916811323275,1922.2652686729061,-1036.5189832684111,239.7726978639164,796.746285404495,GAP36966.1
228,"Ortho-halobenzoate 1,2-dioxygenase beta-ISP protein OhbA",1603,6836,24,1603.0,6882.84213290604,23.276673283627524,-1233.372935396556,4046.4691975094843,-2813.0962621129283,GAP38915.1
2822,Benzoyl-CoA oxygenase component B,191,2966,1753,191.0,2986.3238394089108,1700.167011091627,-1434.8302835001793,1360.4935559087314,74.3367275914477,GAP36967.1
226,putative exported protein,2221,9065,32,2221.0,9127.115847687719,31.035564378170033,-1572.0504706886295,5334.0653769990895,-3762.0149063104595,GAP38913.1
227,"Ortho-halobenzoate 1,2-dioxygenase alpha-ISP protein OhbB",2064,9324,34,2064.0,9387.890586193083,32.97528715180566,-1764.288624448296,5559.601961744787,-3795.3133372964903,GAP38914.1
4411,Flagellin protein FlaA,795,4670,3608,795.0,4702.000111274314,3499.259883638671,-2203.7533316376616,1703.2467796366523,500.50655200100937,GAP38217.1
224,Chlorogenate esterase,983,9599,70,983.0000000000001,9664.77496105399,67.89029707724694,-2588.888419377079,6092.886541676911,-3503.998122299832,A0A0K8P8E7.1
2284,Type IV pilin PilA,5481,15944,15805,5481.0,16053.252628299286,15328.65921865554,-6806.6372823182755,3765.6153459810103,3041.0219363372653,GAP36444.1
4831,Lipase,4813,18859,11735,4813.0,18988.2270018249,11381.323374307041,-6914.51679204398,7260.71020978092,-346.1934177369385,A0A0K8P6T7.1
