ABAK 	Acrylonitrile Butadiene Acrylate 	
ABA 	Acrylonitrile Butadiene Acrylate 	
ABS 	Acrylonitrile Butadiene Styrene 	
ABS/PVC 	Acrylonitrile Butadiene Styrene / Polyvinyl Chloride 	
ABS+PUR 	Blend of Acrylonitrile Butadiene Styrene and Polyurethane 	
ACS 	Acrylonitrile Chlorinated Polyethylene Styrene 	
AES 	Acrylonitrile Ethylene-Propylenediene Styrene 	
AMA 	Acrylate Maleic Anhydride Terpolymer 	
AMMA 	Acrylonitrile Methyl Methacrylate 	
APO 	Amorphous Polyolefin 	
AS 	Acrylonitrile Styrene 	
ASA 	Acrylonitrile Styrene Acrylate 	
ASA+PC 	Blend of Acrylonitrile Styrene Acrylate and Polycarbonate 	
BMC 	Bulk Molding Compound 	
BMI 	Bis Maleimide 	
CA 	Cellulose Acetat 	
CAB 	Cellulose Acetate Butyrate 	
CAP 	Cellulose Acetate Proprionate 	
CF 	Cresole-Formaldehyde 	
CMC 	Carboxylmethyl Cellulose 	
CN 	Cellulose Nitrate (Celluloid) 	
COC 	Cycloolefin Copolymer 	
COP 	Copolyester Thermoplastic Elastomer 	
CP 	Cellulose Propionate 	
CPE 	Chlorinated Polyethylene 	
CPVC 	Chlorinated Polyvinyl Chloride 	
CSF 	Casein-Formaldehyde 	
CTA 	Cellulose Triacetate 	
CTFE 	Chlorotrifluoroethylene 	
DAP 	Diallyl Phthallate (Thermoset) 	
EBA 	Ethylene Butylacetate
ECTFE 	Ethylene Chlorotrifluorethylene 	
EEAK 	Ethylene Ethylacrylate 	
EMAA 	Ethylene Methacrylic Acid Copolymer 	
EMA 	Ethylene Methacrylic Acid 	
EP 	Ethylene Propylene 	
ETFE 	Ethylene Tetrafluoroethylene 	
EAA 	Ethylene Acrylic Acid Copolymer 	
EC 	Ethyl Cellulose 	
EMAC 	Ethylene Methyl Acrylate Copolymer 	
EnBA 	Ethylene n-Butyl Acetate 	
EPDM 	Ethylene Propylene Diene Monomer Rubber 	
EPM 	Ethylene Propylene Copolymer Rubber 	
EPR 	Ethylene Propylene Rubber 	
EPS 	Expandable Polystyrene 	
EVA 	Ethylene Vinyl Acetate 	
EVOH 	Ethylene Vinylalcohol 	
FEP 	Fluorinated Ethylene Propylene 	
FF 	Furan-Formaldehyde 	
FRP 	Fibre Reinforced Plastic 	
GPPS 	General Purpose Polystyrene 	
HDPE 	High Density Polyethylene 	
HIPS 	High Impact Polystyrene 	
HMC 	High Strength Molding Compound 	
HMWHDPE 	High Molecular Weight High Density Polyethylene 	
ION 	Ionomer 	
IPN 	Interpenetrating Polymer Network 	
LCP 	Liquid Crystal Polymer 	
LDPE 	Low Density Polyethylene 	
LLDPE 	Linear Low Density Polyethylene 	
LPE 	Linear Polyethylene 	
MA 	Maleic Anhydride 	
MABS 	Methylmethacrylate Acrylonitrile Butadiene Styrene 	
MBS 	Methacrylate Butadiene Styrene 	
MC 	Methyl Cellulose 	
MDPE 	Medium Density Polyethylene 	
MF 	Melamine Formaldehyde 	
MP 	Melamine Phenolic 	
MPF 	Melamine Phenol-Formaldehyde 	
NBR 	Nitrile Butadiene Rubber 	
OSA 	Olefin Modified Styrene Acrylonitrile 	
P 	Phenolic 	
PA 	Polyamide (Nylon)
PA / ABS 	Polyamide / Acrylonitrile Butadiene Styrene 	
PA 11 	Polyamide 11 	
PA 12 	Polyamide 12 	
PA 46 	Polyamide 46 	
PA 6 	Polyamide 6
PA 6 / EVOH 	Polyamide 6 / Ethylene Vinylalcohol 	
PA 6 / 12 	Polyamide 6 / Polyamide 12 	
PA 6 / 66 	Polyamide 6 / Polyamide 66 	
PA 6 / 69 	Polyamide 6 / Polyamide 69 	
PA 6 / 6T 	Polyamide 6 / Polyamide 6t 	
PA 610 	Polyamide 610 
PA 612 	Polyamide 612 	
PA 6-3-T 	Polytrimethylene Hexamethylene Terephthalamide 	
PA 66 	Polyamide 66 	
PA 66 / 6 	Polyamide 66 / Polyamide 6 	
PA 66 / 610 	Polyamide 66 / Polyamide 610 	
PA 68 	Polyamide 68 	
PA MXD6 	Polyxylylene Adipamide 	
PA + PPE 	Blend of Polyamide and Polyphenylene Ether 	
PAA 	Polyarylamide 	
PAA 	Polyacetic Acid 	
PAEK 	Polyacryletherketone 	
PAEK 	Polyaryletherketone 	
PAI 	Polyamide-Imide 	
PAK 	Polyester Alkyd 	
PAL 	Polyanaline 	
PAN 	Polyacrylonitrile 	
PAR 	Polyarylate 	
PARA 	Polyaryl Amide 	
PAS 	Polyarylsulfone 	
PASU 	Polyarylsulfone 	
PB 	Polubutylene 	
PBAK 	Polybutylacrylate 	
PBAN 	Polybutadiene Acrylonitrile 	
PBD 	Polybutadine 	
PBI 	Polybenzimidazole 	
PBN 	Polybutylene Napthalate 	
PBS 	Polybutadiene Styrene 	
PBT 	Polybutylene Terephthalate 	
PBT+ASA 	Blend of Polybutylene Terephthalate and Acrylonitrile Styrene Acrylate
PBT+PC	Blend of Polybutylene Terephthalate and Polycarbonate
PC/PBT	Polycarbonate / Polybutylene Terephthalate 	
PC/PET 	Polycarbonate / Polyethylene Terephthalate 	
PC/ABS 	Polycarbonate / Acrylonitrile Butadiene Styrene Blend 	
PCL 	Polycaprolactone 	
PCT 	Polycyclohexylene Terephthallate 	
PCTFE 	Polymonochlorotrifluoroethylene 	
PCT-G 	Glycol Modified Polycyclohexyl Terephthallate 	
PDAP 	Polydiallyl Phthalate 	
PDCPD 	Polydicyclopentadiene 	
PE 	Polyethylene
PEBA 	Polyether Block Amide or Polyester Block Amide 	
PE-C 	Chlorinated Polyethylene 	
PEE 	Polyester Elastomer 	
PEEK 	Polyetheretherketone 	
PEEKK 	Polyetheretherketoneketone 	
PEEST 	Polyetherester 	
PEI 	Polyetherimide 	
PEK 	Polyetherketone 	
PEKEKK 	Polyetherketoneetherketoneketone 	
PEKK 	Polyetherketoneketone 	
PEN 	Polyethylene Napthalene 	
PEO 	Polyethylene Oxide 	
PEOX 	Polyethyleneoxide 	
PES 	Polyether Sulfone 	
PEST 	Polyester 	
PESTUR 	Polyesterurethane 	
PET 	Polyethylene Terephthalate 	
PET-G 	Glycol Modified Polyethylene Terephthalate 	
PEUR 	Polyether Urethane 	
PE-X 	Crosslinked Polyethylene 	
PF 	Phenol-Formaldehyde 	
PFA 	Perfluoro Alkoxy Alkene Polymer 	
PI 	Polyimide Or Polyisoprene 	
