ISF6_XXXX,Annotation,PET_RPKM,TPA?2Na_RPKM,EG_RPKM,PET_RPKM_NORM,TPA?2Na_RPKM_NORM,EG_RPKM_NORM,PET_RPKM_REL,TPA?2Na_RPKM_REL,EG_RPKM_REL,ProteinID
529,Aldehyde dehydrogenase (EC 1.2.1.3),10672,628,12200,10672.0,632.3032269550896,11832.308919177325,2959.795951289195,-7079.900821755716,4120.10487046652,GAP34979.1
528,hypothetical protein,7515,401,6706,7515.0,403.74776116081364,6503.890460000258,2707.4539262796425,-4403.798312559544,1696.3443862799004,GAP34978.1
2619,hypothetical protein,2237,27,33,2237.0,27.18501134997997,32.00542576498784,1471.6031876283441,-738.2118010216759,-733.391386606668,GAP36779.1
1504,Outer membrane protein (porin),8061,5816,6641,8060.999999999999,5855.8528152401295,6440.849469857099,1275.0992383009234,-930.0479464589462,-345.0512918419763,GAP35731.1
3161,LSU ribosomal protein L20p,6107,3987,4565,6107.0,4014.3200093470423,4427.417230823318,1257.4209199432125,-835.2590707097452,-422.1618492334692,GAP37306.1
2768,quinoprotein alcohol dehydrogenase,4953,336,6779,4953.0,338.3023634664174,6574.690341237957,997.6690984318752,-3617.0285381017075,2619.359439669832,GAP36928.1
3160,LSU ribosomal protein L35p,7347,5482,6640,7347.0,5519.564156318155,6439.879608470282,911.5187450705207,-915.917098611324,4.398353540802418,GAP37305.1
2618,Probable transmembrane protein,1364,32,37,1364.0,32.21927271108737,35.8848713122591,886.6319519922179,-445.1487752966948,-441.483176695523,GAP36778.1
2769,hypothetical protein,3176,185,3643,3176.0,186.26767036097388,3533.2050321772945,877.5090991539105,-2112.2232304851154,1234.714131331205,GAP36929.1
3488,hypothetical protein,4301,2610,3560,4301.0,2627.8844304980635,3452.706537071416,840.4696774768404,-832.6458920250961,-7.823785451743788,GAP37543.1
